"cod6","ano","agente","casos","populacao","fonte_populacao","populacao_unica","incid_100k","incid_100k_pop2024","incid_eb_100k","incid_pad_100k"
"330115",2023,"sarscov2",0,13170,"interpolação linear (peso 0.4771) entre 2022-08-01 e 2024-07-01",13403,0,0,7.13197013251413,0
"330115",2024,"sarscov2",0,13403,"Estimativa da população residente, 1º de julho de 2024",13403,0,0,6.92009209349042,0
"330115",2025,"sarscov2",0,13407,"Estimativa da população residente, 1º de julho de 2025",13403,0,0,5.0066974963153,0
"330115",2022,"vsr",0,12958,"Censo 2022, população residente (data de referência 01/08/2022)",13403,0,0,4.99576754278262,0
"330115",2023,"vsr",0,13170,"interpolação linear (peso 0.4771) entre 2022-08-01 e 2024-07-01",13403,0,0,2.99063051061098,0
"330115",2024,"vsr",0,13403,"Estimativa da população residente, 1º de julho de 2024",13403,0,0,8.57181003233254,0
"330115",2025,"vsr",0,13407,"Estimativa da população residente, 1º de julho de 2025",13403,0,0,10.9732838772537,0
"330120",2022,"influenza",3,17198,"Censo 2022, população residente (data de referência 01/08/2022)",17740,17.4438888242819,16.9109357384442,10.3944235914926,17.6701170702172
"330120",2023,"influenza",0,17457,"interpolação linear (peso 0.4771) entre 2022-08-01 e 2024-07-01",17740,0,0,2.6442892396774,0
"330120",2024,"influenza",2,17740,"Estimativa da população residente, 1º de julho de 2024",17740,11.2739571589628,11.2739571589628,10.491917935017,10.2287244606182
"330120",2025,"influenza",3,17741,"Estimativa da população residente, 1º de julho de 2025",17740,16.9099825263514,16.9109357384442,16.5645259516864,16.4122100433386
"330120",2022,"sarscov2",24,17198,"Censo 2022, população residente (data de referência 01/08/2022)",17740,139.551110594255,135.287485907554,134.575869356806,133.249002629487
"330120",2023,"sarscov2",11,17457,"interpolação linear (peso 0.4771) entre 2022-08-01 e 2024-07-01",17740,63.0119722747322,62.0067643742954,53.8736526027738,58.1227988250089
"330120",2024,"sarscov2",5,17740,"Estimativa da população residente, 1º de julho de 2024",17740,28.184892897407,28.184892897407,21.4074065808908,25.9688691345315
"330120",2025,"sarscov2",0,17741,"Estimativa da população residente, 1º de julho de 2025",17740,0,0,4.69105717886725,0
"330120",2022,"vsr",0,17198,"Censo 2022, população residente (data de referência 01/08/2022)",17740,0,0,4.53047171485928,0
